,country,category,item_names,item_prices_local_curr,item_prices_usd,categoria_propia
23,Armenia,Housing,Hourly rate for cleaning help,2500.0,6.0,Tarifa horaria trabajo doméstico
24,Armenia,Clothes,1 pair of jeans (levis 501 or similar),51110.0,132.0,Ropa y calzado
25,Armenia,Clothes,"1 summer dress in a high street store (zara, h&m or similar retailers)",22183.0,57.0,Ropa y calzado
26,Armenia,Clothes,"1 pair of sport shoes (nike, adidas, or equivalent brands)",55047.0,142.0,Ropa y calzado
27,Armenia,Clothes,1 pair of men’s leather business shoes,50000.0,129.0,Ropa y calzado
28,Armenia,Transportation,"Volkswagen golf 1.4 tsi 150 cv (or equivalent), with no extras, new",,,Vehículos
29,Armenia,Transportation,1 liter (1/4 gallon) of gas,540.0,1.39,Nafta
30,Armenia,Transportation,Monthly ticket public transport,9800.0,25.0,Transporte
31,Armenia,Personal Care,"Cold medicine for 6 days (tylenol, frenadol, coldrex, or equivalent brands)",1446.0,3.72,Cuidado personal
32,Armenia,Personal Care,1 box of antibiotics (12 doses),3004.0,8.0,Cuidado personal
33,Armenia,Personal Care,Short visit to private doctor (15 minutes),14006.0,36.0,Cuidado personal
34,Armenia,Personal Care,"1 box of 32 tampons (tampax, ob, ...)",1668.0,4.3,Cuidado personal
35,Armenia,Personal Care,"Deodorant, roll-on (50ml ~ 1.5 oz.)",1615.0,4.16,Cuidado personal
36,Armenia,Personal Care,Hair shampoo 2-in-1 (400 ml ~ 12 oz.),1291.0,3.33,Cuidado personal
37,Armenia,Personal Care,4 rolls of toilet paper,1508.0,3.88,Cuidado personal
38,Armenia,Personal Care,Tube of toothpaste,1502.0,3.87,Cuidado personal
39,Armenia,Personal Care,Standard men's haircut in expat area of the city,4015.0,10.0,Cuidado personal
40,Armenia,Entertainment,Basic dinner out for two in neighborhood pub,13403.0,35.0,Restaurantes
41,Armenia,Entertainment,2 tickets to the movies,5932.0,15.0,Ocio
42,Armenia,Entertainment,2 tickets to the theater (best available seats),35512.0,91.0,Ocio
43,Armenia,Entertainment,"Dinner for two at an italian restaurant in the expat area including appetisers, main course, wine and dessert",29872.0,77.0,Restaurantes
44,Armenia,Entertainment,1 cocktail drink in downtown club,4000.0,10.0,Restaurantes
45,Armenia,Entertainment,Cappuccino in expat area of the city,1412.0,3.64,Restaurantes
46,Armenia,Entertainment,1 beer in neighbourhood pub (500ml or 1pt.),1596.0,4.11,Restaurantes
